price,year,body_type,volume,fuel,gearbox,type,brand,model
1900000,2010,седан,1.6,бензин,механика,Б/у,ВАЗ,2107
1800000,2011,седан,1.6,бензин,механика,Б/у,ВАЗ,2110
1400000,2009,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
2700000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2700000,2013,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
700000,1981,седан,1.2,бензин,механика,Б/у,ВАЗ,2101
4700000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
850000,2003,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
5200000,2019,универсал,1.8,бензин,робот,Б/у,ВАЗ,Vesta SW Cross
3400000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
550000,1994,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2108
3000000,2002,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2112
3000000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1900000,2012,седан,1.5,бензин,механика,Б/у,ВАЗ,Granta 2190
700000,2005,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
4390000,2018,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
850000,2004,седан,1.5,бензин,механика,Б/у,ВАЗ,2106
3000000,2015,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1700000,2014,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
1200000,2012,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
1300000,2011,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2114
4500000,2019,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
600000,1993,универсал,1.5,бензин,механика,Б/у,ВАЗ,2104
3800000,2022,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1800000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
2000000,2014,универсал,1.6,бензин,механика,Б/у,ВАЗ,Kalina 2194
1800000,2011,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2690000,2015,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
4500000,2015,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
4200000,2018,седан,1.6,газ-бензин,механика,Б/у,ВАЗ,Vesta
1400000,2008,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
3000000,2018,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
6500000,2021,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
800000,2008,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
3200000,2017,лифтбек,1.6,бензин,механика,Б/у,ВАЗ,Granta 2191
3500000,2014,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
600000,2009,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
5400000,2021,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta Cross
6000000,2020,универсал,1.8,бензин,механика,Б/у,ВАЗ,Vesta SW Cross
1300000,2009,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1200000,2008,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1650000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2400000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
900000,2007,седан,1.6,бензин,механика,Б/у,ВАЗ,2110
1800000,2007,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2112
4000000,2019,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
3050000,2017,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
2100000,2012,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
1700000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
2900000,2015,седан,1.6,бензин,робот,Б/у,ВАЗ,Priora 2170
2500000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1000000,2008,внедорожник,1.8,бензин,механика,Б/у,ВАЗ,Lada 2131 (5-ти дверный)
10940000,2024,универсал,1.8,бензин,автомат,новый,ВАЗ,Vesta SW Enjoy
6090000,2025,лифтбек,1.6,бензин,механика,новый,ВАЗ,Granta 2191 Classic'24
6090000,2025,седан,1.6,бензин,механика,новый,ВАЗ,Granta 2190 Classic'24
7490000,2025,внедорожник,1.7,бензин,механика,новый,ВАЗ,Lada 2121 Luxe
1250000,2004,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
3350000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2200000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2540000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1400000,2010,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
800000,2007,седан,1.7,бензин,механика,Б/у,ВАЗ,2107
800000,2005,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
750000,2004,седан,1.5,бензин,механика,Б/у,ВАЗ,21099
1200000,2008,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
1350000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
2650000,2016,седан,1.6,газ-бензин,механика,Б/у,ВАЗ,Granta 2190
697203,1998,седан,1.6,бензин,механика,Б/у,ВАЗ,21099
4300000,2013,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
4300000,2019,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
1350000,2001,седан,1.5,бензин,механика,Б/у,ВАЗ,21099
4350000,2019,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
7490000,2024,седан,1.6,бензин,автомат,новый,ВАЗ,Vesta Comfort CVT
9640000,2024,универсал,1.6,бензин,автомат,новый,ВАЗ,Vesta SW Comfort CVT
1950000,2012,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
1980000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
6300000,2021,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Niva Travel
6200000,2022,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Niva Travel
3850000,2014,универсал,1.6,газ-бензин,механика,Б/у,ВАЗ,Largus
400000,2002,универсал,1.6,бензин,механика,Б/у,ВАЗ,2111
2940000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
3400000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2800000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
5890000,2025,седан,1.6,бензин,механика,новый,ВАЗ,Granta 2190 Classic'24
2600000,2016,универсал,1.6,бензин,механика,Б/у,ВАЗ,Kalina 2194
2500000,2000,седан,1.6,бензин,механика,Б/у,ВАЗ,2106
6100000,2021,универсал,1.8,бензин,механика,Б/у,ВАЗ,Vesta SW Cross
3950000,2020,седан,1.6,газ-бензин,механика,Б/у,ВАЗ,Granta 2190
6190000,2025,лифтбек,1.6,бензин,механика,новый,ВАЗ,Granta 2191 Classic'24
5990000,2025,лифтбек,1.6,бензин,механика,новый,ВАЗ,Granta 2191 Classic'24
700000,2011,универсал,1.6,бензин,механика,Б/у,ВАЗ,2104
2128549,2012,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
